languages,English,stop_words,libraries
aa,Afar,"[""'n"", 'aan', 'af', 'al', 'as', 'baie', 'by', 'daar', 'dag', 'dat', 'die', 'dit', 'een', 'ek', 'en', 'gaan', 'gesê', 'haar', 'het', 'hom', 'hulle', 'hy', 'in', 'is', 'jou', 'jy', 'kan', 'kom', 'ma', 'maar', 'met', 'my', 'na', 'nie', 'om', 'ons', 'op', 'saam', 'sal', 'se', 'sien', 'so', 'sy', 'te', 'toe', 'uit', 'van', 'vir', 'was', 'wat', 'ŉ']",spark-nlp
ab,Abkhazian,,
ae,Avestan,,
af,Afrikaans,"[""'n"", 'aan', 'af', 'al', 'as', 'baie', 'by', 'daar', 'dag', 'dat', 'die', 'dit', 'een', 'ek', 'en', 'gaan', 'gesê', 'haar', 'het', 'hom', 'hulle', 'hy', 'in', 'is', 'jou', 'jy', 'kan', 'kom', 'ma', 'maar', 'met', 'my', 'na', 'nie', 'om', 'ons', 'op', 'saam', 'sal', 'se', 'sien', 'so', 'sy', 'te', 'toe', 'uit', 'van', 'vir', 'was', 'wat', 'ŉ']",guilan_nlp
ak,Akan,,
am,Amharic,"['ግን', 'አንቺ', 'አንተ', 'እናንተ', 'ያንተ', 'ያንቺ', 'የናንተ', 'ራስህን', 'ራስሽን', 'ራሳችሁን', 'ሁሉ', 'ኋላ', 'በሰሞኑ', 'አሉ', 'በኋላ', 'ሁኔታ', 'በኩል', 'አስታውቀዋል', 'ሆነ', 'በውስጥ', 'አስታውሰዋል', 'ሆኑ', 'ባጣም', 'እስካሁን', 'ሆኖም', 'በተለይ', 'አሳሰበ', 'ሁል', 'በተመለከተ', 'አሳስበዋል', 'ላይ', 'በተመሳሳይ', 'አስፈላጊ', 'ሌላ', 'የተለያየ', 'አስገነዘቡ', 'ሌሎች', 'የተለያዩ', 'አስገንዝበዋል', 'ልዩ', 'ተባለ', 'አብራርተዋል', 'መሆኑ', 'ተገለጸ', 'አስረድተዋል', 'ተገልጿል', 'ማለቱ', 'ተጨማሪ', 'እባክህ', 'የሚገኝ', 'ተከናወነ', 'እባክሽ', 'ማድረግ', 'ችግር', 'አንጻር', 'ማን', 'ትናንት', 'እስኪደርስ', 'ነበረች', 'እንኳ', 'ሰሞኑን', 'ነበሩ', 'እንኳን', 'ሲሆን', 'ነበር', 'እዚሁ', 'ሲል', 'ነው', 'እንደገለጹት', 'አለ', 'ና', 'እንደተናገሩት', 'ቢሆን', 'ነገር', 'እንዳስረዱት', 'ብለዋል', 'ነገሮች', 'እንደገና', 'ብዙ', 'ናት', 'ወቅት', 'ቦታ', 'ናቸው', 'እንዲሁም', 'በርካታ', 'አሁን', 'እንጂ', 'እስከ', 'ማለት', 'የሚሆኑት', 'ስለማናቸውም', 'ውስጥ', 'ይሆናሉ', 'ሲባል', 'ከሆነው', 'ስለዚሁ', 'ከአንድ', 'ያልሆነ', 'ሳለ', 'የነበረውን', 'ከአንዳንድ', 'በማናቸውም', 'በሙሉ', 'የሆነው', 'ያሉ', 'በእነዚሁ', 'ወር', 'መሆናቸው', 'ከሌሎች', 'በዋና', 'አንዲት', 'ወይም', 'በላይ', 'እንደ', 'በማቀድ', 'ለሌሎች', 'በሆኑ', 'ቢሆንም', 'ጊዜና', 'ይሆኑበታል', 'በሆነ', 'አንዱ', 'ለዚህ', 'ለሆነው', 'ለነዚህ', 'ከዚህ', 'የሌላውን', 'ሶስተኛ', 'አንዳንድ', 'ለማንኛውም', 'የሆነ', 'ከሁለት', 'የነገሩ', 'ሰኣት', 'አንደኛ', 'እንዲሆን', 'እንደነዚህ', 'ማንኛውም', 'ካልሆነ', 'የሆኑት', 'ጋር', 'ቢያንስ', 'ይህንንም', 'እነደሆነ', 'እነዚህን', 'ይኸው', 'የማናቸውም', 'በሙሉም', 'ይህችው', 'በተለይም', 'አንዱን', 'የሚችለውን', 'በነዚህ', 'ከእነዚህ', 'በሌላ', 'የዚሁ', 'ከእነዚሁ', 'ለዚሁ', 'በሚገባ', 'ለእያንዳንዱ', 'የአንቀጹ', 'ወደ', 'ይህም', 'ስለሆነ', 'ወይ', 'ማናቸውንም', 'ተብሎ', 'እነዚህ', 'መሆናቸውን', 'የሆነችን', 'ከአስር', 'ሳይሆን', 'ከዚያ', 'የለውም', 'የማይበልጥ', 'እንደሆነና', 'እንዲሆኑ', 'በሚችሉ', 'ብቻ', 'ብሎ', 'ከሌላ', 'የሌላቸውን', 'ለሆነ', 'በሌሎች', 'ሁለቱንም', 'በቀር', 'ይህ', 'በታች', 'አንደሆነ', 'በነሱ', 'ይህን', 'የሌላ', 'እንዲህ', 'ከሆነ', 'ያላቸው', 'በነዚሁ', 'በሚል', 'የዚህ', 'ይህንኑ', 'በእንደዚህ', 'ቁጥር', 'ማናቸውም', 'ሆነው', 'ባሉ', 'በዚህ', 'በስተቀር', 'ሲሆንና', 'በዚህም', 'መሆን', 'ምንጊዜም', 'እነዚህም', 'በዚህና', 'ያለ', 'ስም', 'ሲኖር', 'ከዚህም', 'መሆኑን', 'በሁኔታው', 'የማያንስ', 'እነዚህኑ', 'ማንም', 'ከነዚሁ', 'ያላቸውን', 'እጅግ', 'ሲሆኑ', 'ለሆኑ', 'ሊሆን', 'ለማናቸውም']",spark-nlp
an,Aragonese,,
ar,Arabic,"['من', 'نحو', 'لعل', 'بما', 'بين', 'وبين', 'ايضا', 'وبينما', 'تحت', 'مثلا', 'لدي', 'عنه', 'مع', 'هي', 'وهذا', 'واذا', 'هذان', 'انه', 'بينما', 'أمسى', 'وسوف', 'ولم', 'لذلك', 'إلى', 'منه', 'منها', 'كما', 'ظل', 'هنا', 'به', 'كذلك', 'اما', 'هما', 'بعد', 'بينهم', 'التي', 'أبو', 'اذا', 'بدلا', 'لها', 'أمام', 'يلي', 'حين', 'ضد', 'الذي', 'قد', 'صار', 'إذا', 'مابرح', 'قبل', 'كل', 'وليست', 'الذين', 'لهذا', 'وثي', 'انهم', 'باللتي', 'مافتئ', 'ولا', 'بهذه', 'بحيث', 'كيف', 'وله', 'علي', 'بات', 'لاسيما', 'حتى', 'وقد', 'و', 'أما', 'فيها', 'بهذا', 'لذا', 'حيث', 'لقد', 'إن', 'فإن', 'اول', 'ليت', 'فاللتي', 'ولقد', 'لسوف', 'هذه', 'ولماذا', 'معه', 'الحالي', 'بإن', 'حول', 'في', 'عليه', 'مايزال', 'ولعل', 'أنه', 'أضحى', 'اي', 'ستكون', 'لن', 'أن', 'ضمن', 'وعلى', 'امسى', 'الي', 'ذات', 'ولايزال', 'ذلك', 'فقد', 'هم', 'أي', 'عند', 'ابن', 'أو', 'فهو', 'فانه', 'سوف', 'ما', 'آل', 'كلا', 'عنها', 'وكذلك', 'ليست', 'لم', 'وأن', 'ماذا', 'لو', 'وهل', 'اللتي', 'ولذا', 'يمكن', 'فيه', 'الا', 'عليها', 'وبينهم', 'يوم', 'وبما', 'لما', 'فكان', 'اضحى', 'اصبح', 'لهم', 'بها', 'او', 'الذى', 'الى', 'إلي', 'قال', 'والتي', 'لازال', 'أصبح', 'ولهذا', 'مثل', 'وكانت', 'لكنه', 'بذلك', 'هذا', 'لماذا', 'قالت', 'فقط', 'لكن', 'مما', 'وكل', 'وان', 'وأبو', 'ومن', 'كان', 'مازال', 'هل', 'بينهن', 'هو', 'وما', 'على', 'وهو', 'لأن', 'واللتي', 'والذي', 'دون', 'عن', 'وايضا', 'هناك', 'بلا', 'جدا', 'ثم', 'منذ', 'اللذين', 'لايزال', 'بعض', 'مساء', 'تكون', 'فلا', 'بيننا', 'لا', 'ولكن', 'إذ', 'وأثناء', 'ليس', 'ومع', 'فيهم', 'ولسوف', 'بل', 'تلك', 'أحد', 'وهي', 'وكان', 'ومنها', 'وفي', 'ماانفك', 'اليوم', 'وماذا', 'هؤلاء', 'وليس', 'له', 'أثناء', 'بد', 'اليه', 'كأن', 'اليها', 'بتلك', 'يكون', 'ولما', 'هن', 'والى', 'كانت', 'وقبل', 'ان', 'لدى', 'إذما', 'إذن', 'أف', 'أقل', 'أكثر', 'ألا', 'إلا', 'اللاتي', 'اللائي', 'اللتان', 'اللتيا', 'اللتين', 'اللذان', 'اللواتي', 'إليك', 'إليكم', 'إليكما', 'إليكن', 'أم', 'أما', 'إما', 'إنا', 'أنا', 'أنت', 'أنتم', 'أنتما', 'أنتن', 'إنما', 'إنه', 'أنى', 'أنى', 'آه', 'آها', 'أولاء', 'أولئك', 'أوه', 'آي', 'أيها', 'إي', 'أين', 'أين', 'أينما', 'إيه', 'بخ', 'بس', 'بك', 'بكم', 'بكم', 'بكما', 'بكن', 'بلى', 'بماذا', 'بمن', 'بنا', 'بهم', 'بهما', 'بهن', 'بي', 'بيد', 'تلكم', 'تلكما', 'ته', 'تي', 'تين', 'تينك', 'ثمة', 'حاشا', 'حبذا', 'حيثما', 'خلا', 'ذا', 'ذاك', 'ذان', 'ذانك', 'ذلكم', 'ذلكما', 'ذلكن', 'ذه', 'ذو', 'ذوا', 'ذواتا', 'ذواتي', 'ذي', 'ذين', 'ذينك', 'ريث', 'سوى', 'شتان', 'عدا', 'عسى', 'عل', 'عليك', 'عما', 'غير', 'فإذا', 'فمن', 'فيم', 'فيما', 'كأنما', 'كأي', 'كأين', 'كذا', 'كلاهما', 'كلتا', 'كلما', 'كليكما', 'كليهما', 'كم', 'كم', 'كي', 'كيت', 'كيفما', 'لست', 'لستم', 'لستما', 'لستن', 'لسن', 'لسنا', 'لك', 'لكم', 'لكما', 'لكنما', 'لكي', 'لكيلا', 'لنا', 'لهما', 'لهن', 'لولا', 'لوما', 'لي', 'لئن', 'ليسا', 'ليستا', 'ليسوا', 'متى', 'مذ', 'ممن', 'مه', 'مهما', 'نحن', 'نعم', 'ها', 'هاتان', 'هاته', 'هاتي', 'هاتين', 'هاك', 'هاهنا', 'هذي', 'هذين', 'هكذا', 'هلا', 'هنالك', 'هيا', 'هيت', 'هيهات', 'والذين', 'وإذ', 'وإذا', 'وإن', 'ولو', 'يا']",spark-nlp
as,Assamese,,
av,Avaric,,
